101 Dalmatians 1	101 Dalmatians
Despicable me 1	Despicable Me
Despicable me 2	Despicable Me II
Despicable me 3	Despicable Me III
Dinosaur	Dinosaur
Doctor Strange 1	Doctor Strange
Doctor Strange 2 - The Multiverse of Madness	Doctor Strange: The Multiverse of Madness
Dune 1	Dune I
Dune 2	Dune II
Elysium	Elysium
Eternals	Eternals
Fantastic Beasts 1 - And Where to Find Them	Fantastic Beasts and Where to Find Them
Fantastic Beasts 2 - The Crimes of Grindelwald	Fantastic Beasts: The Crimes of Grindelwald
Fantastic Beasts 3 - The Secrets of Dumbledore	Fantastic Beasts: The Secrets of Dumbledore
Fast & Furious 01 - The Fast and the Furious	The Fast and the Furious
Fast & Furious 02 - 2 Fast 2 Furious	2 Fast 2 Furious
Fast & Furious 03 - Tokyo Drift	The Fast and the Furious: Tokyo Drift
Fast & Furious 04 - Fast & Furious	Fast & Furious
Fast & Furious 05 - Fast Five	Fast Five
Fast & Furious 06	Fast & Furious 6
Fast & Furious 07 - Furious 7	Furious 7
Fast & Furious 08 - The Fate of the Furious	The Fate of the Furious
Fast & Furious 09 - F9	F9: The Fast Saga
Fast & Furious 10 - Fast X	Fast X
Ferdinand	Ferdinand
Finding Dory	Finding Dory
Finding Nemo	Finding Nemo
Focus	Focus
Forrest Gump	Forrest Gump
Frozen 1	Frozen
Frozen 2	Frozen II
Gladiator	Gladiator
Glass	Glass
Godzilla 1	Godzilla
Godzilla 2 - King of the Monsteers	Godzilla: King of the Monsters
Godzilla vs Kong	Godzilla vs. Kong
Gone with the Wind	Gone with the Wind
Guardian of the Galaxy	Guardians of the Galaxy
Guardians of the Galaxy 2	Guardians of the Galaxy II
Guardians of the Galaxy 3	Guardians of the Galaxy III
Happy feet 1	Happy Feet
Happy feet 2	Happy Feet Two
Harry Potter 1 - The Philosopher's Stone	Harry Potter and the Sorcerer's Stone
Harry Potter 2 - The Chamber of Secrets	Harry Potter and the Chamber of Secrets
Harry Potter 3 - The Prisones of Azkaban	Harry Potter and the Prisoner of Azkaban
Harry Potter 4 - The Goblet of Fire	Harry Potter and the Goblet of Fire
Harry Potter 5 - The Order of the Phoenix	Harry Potter and the Order of the Phoenix
Harry Potter 6 - The Half-Blood Prince	Harry Potter and the Half-Blood Prince
Harry Potter 7 - The Deathly Hollows 1	Harry Potter and the Deathly Hallows: Part 1
Harry Potter 7 - The Deathly Hollows 2	Harry Potter and the Deathly Hallows: Part 2
Hellboy 1	Hellboy
Hellboy 2 - The Golden Army	Hellboy: The Golden Army
Hellboy 3	Hellboy
Hercules	Hercules
Home on the Range	Home on the Range
Hotel Transylvania 1	Hotel Transylvania
Hotel Transylvania 2	Hotel Transylvania II
Hotel Transylvania 3 - Summer Vacation	Hotel Transylvania III: Summer Vacation
Hotel Transylvania 4 - Transformania	Hotel Transylvania IV: Transformania
How to train your dragon 1	How to Train Your Dragon
How to train your Dragon 2	How to Train Your Dragon II
How to train your dragon 3	How to Train Your Dragon III: The Hidden World
Ice Age - Adventures of Buck Wild	Adventures of Buck Wild
Ice Age 1	Ice Age
Ice Age 2 - The Meltdown	Ice Age: The Meltdown
Ice Age 3 - Dawn of the Dinosaurs	Ice Age: Dawn of the Dinosaurs
Ice Age 4 - Continental drift	Ice Age: Continental Drift
Ice Age 5 - Collision Course	Ice Age: Collision Course
Indiana Jones 1 - The raiders of the Lost Ark	Indiana Jones and the Raiders of the Lost Ark
Indiana Jones 2 - The Temple of Doom	Indiana Jones and the Temple of Doom
Indiana Jones 3 - The Last Crusade	Indiana Jones and the Last Crusade
Indiana Jones 4 - The Kingdom of the Crystal Skull	Indiana Jones and the Kingdom of the Crystal Skull
Indiana Jones 5 - The Dial of Destiny	Indiana Jones and the Dial of Destiny
Inside Out 1	Inside Out
Inside Out 2	Inside Out 2
Iron Man 1	Iron Man
Iron Man 2	Iron Man 2
Iron Man 3	Iron Man 3
It's a Wonderful Life	It's a Wonderful Life
Jimmy Neutron, Boy Genius	Jimmy Neutron: Boy Genius
John Wick 1	John Wick
John Wick 2	John Wick: Chapter 2
John Wick 3	John Wick: Chapter 3
John Wick 4	John Wick: Chapter 4
Joseph, King of Dreams	Joseph: King of Dreams
Jumanji 1 - Welcome to the Jungle	Jumanji: Welcome to the Jungle
Jumanji 2 - The Next Level	Jumanji: The Next Level
Jurassic Park 1	Jurassic Park
Jurassic Park 2 - The Lost World	Jurassic Park II: The Lost World
Jurassic Park 3	Jurassic Park III
Jurassic World 1	Jurassic World
Jurassic World 2  - Fallen Kingdom	Jurassic World: Fallen Kingdom
Jurassic World 3 - Dominion	Jurassic World: Dominion
Justice League	Justice League
Kingsman 0 - The King's Man	The King's Man
Kingsman 1 - The Secret Service	Kingsman: The Secret Service
Kingsman 2 - The Golden Circle	Kingsman: The Golden Circle
Knives Out 1	Knives Out
Knives Out 2 - Glass Onion	Glass Onion
Kong - Skull Island	Kong: Skull Island
La vita é bella	Life Is Beautiful
Lady and the Tramp (RM)	Lady and the Tramp
Lady and the Tramp 1	Lady and the Tramp
Lady and the Tramp 2 - Scamp's adventure	Lady and the Tramp: Scamp's Adventure
Lara Croft - Tomb Rider 1	Lara Croft: Tomb Raider
Lara Croft - Tomb Rider 2 - The Craddle of Life	Lara Croft: Tomb Raider - The Cradle of Life
Lilo & Stitch 1	Lilo & Stitch
Lilo & Stitch 2 - Stitch has a Glitch	Lilo & Stitch: Stitch Has a Glitch
Lilo & Stitch 3 - The Movie	Stitch! The Movie
Lilo & Stitch 4 - Leroy & Stitch	Leroy & Stitch
Madagascar - Penguins of Madagascar	Penguins of Madagascar
Madagascar 1	Madagascar
Madagascar 2 - Escape to Africa	Madagascar: Escape 2 Africa
Madagascar 3 - Europe Most Wanted	Madagascar: Europe's Most Wanted
Maleficent 1	Maleficent
Maleficent 2 - Mistress of Evil	Maleficent: Mistress of Evil
Mamma Mia! 1	Mamma Mia!
Mamma Mia! 2 - Here We Go Again	Mamma Mia! Here We Go Again
Meet the Robinsons	Meet the Robinsons
Megamind 1	Megamind
Megamind 2 - Megamind vs The Doom Syndicate	Megamind vs The Doom Syndicate
Men in Black 1	Men in Black
Men in Black 2	Men in Black II
Men in Black 3	Men in Black III
Men in Black 4 - International	Men in Black IV: International
Minions	Minions
Monsters University	Monsters University
Monsters, Inc.	Monsters, Inc.
Morbius	Morbius
Mulan (RM)	Mulan
Mulan 1	Mulan
Mulan 2	Mulan II
North by Northwest	North by Northwest
Now you see me 1	Now You See Me
Now you see me 2	Now You See Me II
Ocean's 11	Ocean's Eleven
Ocean's 12	Ocean's Twelve
Ocean's 13	Ocean's Thirteen
Ocean's 8	Ocean's Eight
Open Season 1	Open Season
Open Season 2	Open Season II
Open Season 3	Open Season III
Open Season 4 - Scared Silly	Open Season IV: Scared Silly
Over the Hedge	Over the Hedge
Pacific Rim 1	Pacific Rim
Pacific Rim 2 - Uprising	Pacific Rim: Uprising
Peter Pan 1	Peter Pan
Peter Pan 2 - Return to Neverland	Peter Pan: Return to Never Land
Pinocchio	Pinocchio
Pirates of the Caribbean 1 - The curse of the Black Pearl	Pirates of the Caribbean: The Curse of the Black Pearl
Pirates of the Caribbean 2 - Dead Man's Chest	Pirates of the Caribbean: Dead Man's Chest
Pirates of the Caribbean 3 - At World's End	Pirates of the Caribbean: At World's End
Pirates of the Caribbean 4 - On stranger tides	Pirates of the Caribbean: On Stranger Tides
Pirates of the Caribbean 5 - Dead men tell no tales	Pirates of the Caribbean: Dead Men Tell No Tales
Pocahontas 1	Pocahontas
Pocahontas 2 - Journey to the New Wolrd	Pocahontas: Journey to a New World
Puss in Boots 1	Puss in Boots
Puss in Boots 2 - The Last Wish	Puss in Boots: The Last Wish
Quest for Camelot	Quest for Camelot
Ralph 1 - Wreck-it Ralph	Wreck-It Ralph
Ralph 2 - Breaks the Internet	Ralph Breaks the Internet
Rango	Rango
Ratatouille	Ratatouille
Rear Window	Rear Window
Rebecca	Rebecca
Rio 1	Rio
Rio 2	Rio II
Rise of the Guardians	Rise of the Guardians
Robin Hood	Robin Hood
Robots	Robots
Roman Holiday	Roman Holiday
Saving Private Ryan	Saving Private Ryan
Schindler's List	Schindler's List
Shang Chi and the legend of the Ten Rings	Shang-Chi and the Legend of the Ten Rings
Shark Tale	Shark Tale
Shazam! 1	Shazam!
Shazam! 2 - Fury of the Gods	Shazam! Fury of the Gods
Shrek 1	Shrek
Shrek 2	Shrek II
Shrek 3 - Shrek the Third	Shrek III: Shrek the Third
Shrek 4 - Forever After	Shrek IV: Forever After
Sinbad	Sinbad
Snow White and the Seven Dwarfs	Snow White and the Seven Dwarfs
Some Like It Hot	Some Like It Hot
Space Jam 1	Space Jam
Space Jam 2 - A New Legacy	Space Jam: A New Legacy
Spider-Man - Spider-Verse 1 - Into the Spider-Verse	Spider-Man: Into the Spider-Verse
Spider-Man - Spider-Verse 2 - Across the Spider-Verse	Spider-Man: Across the Spider-Verse
Spider-Man 1	Spider-Man
Spider-Man 2	Spider-Man II
Spider-Man 3	Spider-Man III
Spider-Man MCU 1 - Homecoming	Spider-Man: Homecoming
Spider-Man MCU 2 - Far From Home	Spider-Man: Far from Home
Spider-Man MCU 3 - No Way Home	Spider-Man: No Way Home
Spirit 1 - Stallion of the Cimarron	Spirit: Stallion of the Cimarron
Spirit 2 - Untamed	Spirit Untamed
Split	Split
Star Wars 1 - The Phantom Menace	Star Wars: Episode I - The Phantom Menace
Star Wars 2 - Attack of the clones	Star Wars: Episode II - Attack of the Clones
Star Wars 3 - Revenge of the Sith	Star Wars: Episode III - Revenge of the Sith
Star Wars 4 - A new hope	Star Wars: Episode IV - A New Hope
Star Wars 4 - The Empire strikes back	Star Wars: Episode V - The Empire Strikes Back
Star Wars 6 - The Return of the Jedi	Star Wars: Episode VI - Return of the Jedi
Star Wars 7 - The Force Awakens	Star Wars: Episode VII - The Force Awakens
Star Wars 8 - The Last Jedi	Star Wars: Episode VIII - The Last Jedi
Star Wars 9 - The Rise of Skywalker	Star Wars: Episode IX - The Rise of Skywalker
Suicide Squad	Suicide Squad
Superman 1 - Man of Steel	Man of Steel
Superman 2 - Batman vs Superman - Dawn of Justice	Batman vs Superman: Dawn of Justice
Taken 1	Taken
Taken 2	Taken II
Taken 3	Taken III
Tangled	Tangled
Tarzan 1	Tarzan
Tarzan 2	Tarzan: The Legend Begins
Tarzan and Jane	Tarzan & Jane
Taylor Swift - The Eras Tour	Taylor Swift: The Eras Tour
Terminator 1 - The Terminator	Terminator: The Terminator
Terminator 2 - Judgment Day	Terminator: Judgment Day
Terminator 3 - Rise of the Machines	Terminator: Rise of the Machines
Terminator 4 - Salvation	Terminator: Salvation
Terminator 5 - Genisys	Terminator: Genisys
Terminator 6 - Dark Fate	Terminator: Dark Fate
The Amazing Spider-Man 1	The Amazing Spider-Man
The Amazing Spider-Man 2	The Amazing Spider-Man 2
The Apartment	The Apartment
The Aristocats	The Aristocats
The Batman	The Batman
The Boy in the Striped Pajamas	The Boy in the Striped Pajamas
The Chronicles of Narnia 1 - The Lion, the Witch and the Wardrobe	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
The Chronicles of Narnia 2 - Prince Caspian	The Chronicles of Narnia: Prince Caspian
The Chronicles of Narnia 3 - The Voyage of the Dawn Treader	The Chronicles of Narnia: The Voyage of the Dawn Treader
The Chronicles of Riddick 1 - Pitch Black	Pitch Black
The Chronicles of Riddick 2	The Chronicles of Riddick
The Chronicles of Riddick 3 - Riddick	Riddick
The Devil Wears Prada	The Devil Wears Prada
The Emperor's New Groove 1	The Emperor's New Groove
The Emperor's New Groove 2 - Kronk's New Groove	Kronk's New Groove
The Flash	The Flash
The Fox and the Hound 1	The Fox and the Hound
The Fox and the Hound 2	The Fox and the Hound II
The Grapes of Wrath	The Grapes of Wrath
The Hobbit 1 - An Unexpected Journey	The Hobbit: An Unexpected Journey
The Hobbit 2 - The Desolation of Smaug	The Hobbit: The Desolation of Smaug
The Hobbit 3 - The Battle of the Five Armys	The Hobbit: The Battle of the Five Armies
The Hunchback of Notre Dame 1	The Hunchback of Notre Dame
The Hunchback of Notre Dame 2	The Hunchback of Notre Dame II
The Hunger Games 0 - The Ballad of Songbirds & Snakes	The Hunger Games: The Ballad of Songbirds & Snakes
The Hunger Games 1	The Hunger Games
The Hunger Games 2 - Catching Fire	The Hunger Games: Catching Fire
The Hunger Games 3 - Mockingjay 1	The Hunger Games: Mockingjay - Part I
The Hunger Games 4 - Mockingjay 2	The Hunger Games: Mockingjay - Part II
The Incredible Hulk	The Incredible Hulk
The Incredibles 1	The Incredibles
The Incredibles 2	The Incredibles II
The Jungle Book (RM)	The Jungle Book
The Jungle Book 1	The Jungle Book
The jungle book 2	The Jungle Book II
The Lion King (RM)	The Lion King
The Lion King 1	The Lion King
The Lion King 2 - Simba's pride	The Lion King II: Simba's Pride
The Lion King 3	The Lion King III
The Little Mermaid (RM)	The Little Mermaid
The little Mermaid 1	The Little Mermaid
The little Mermaid 2 - Return to the sea	The Little Mermaid: Return to the Sea
The little Mermaid 3 - Ariel's Beggining	The Little Mermaid: Ariel's Beginning
The Lord of the Rings 1 - The Fellowship of the Ring	The Lord of the Rings: The Fellowship of the Ring
The Lord of the Rings 2 - The Two Towers	The Lord of the Rings: The Two Towers
The Lord of the Rings 3 - The Return of the King	The Lord of the Rings: The Return of the King
The Martian	The Martian
The Matrix 1	The Matrix
The Matrix 2 - Reloaded	The Matrix Reloaded
The Matrix 3 - Revolutions	The Matrix Revolutions
The Matrix 4 - Resurrections	The Matrix Resurrections
The Maze Runner 1	The Maze Runner
The Maze Runner 2 - The Scorch Trials	The Maze Runner: The Scorch Trials
The Maze Runner 3 - The Death Cure	The Maze Runner: The Death Cure
The Mummy 1	The Mummy
The Mummy 2 - The mummy returns	The Mummy: The Mummy Returns
The Mummy 3 - Tomb of the Dragon Emperor	The Mummy: Tomb of the Dragon Emperor
The Notebook	The Notebook
The Pianist	The Pianist
The Polar Express	The Polar Express
The Prince of Egypt	The Prince of Egypt
The Princess and the Frog	The Princess and the Frog
The road to El Dorado	The Road to El Dorado
The Silence of the Lambs	The Silence of the Lambs
The Suicide Squad	The Suicide Squad
The Sword in the Stone	The Sword in the Stone
Thor 1	Thor
Thor 2 - The Dark World	Thor: The Dark World
Thor 3 - Ragnarok	Thor: Ragnarok
Thor 4 - Love and thunder	Thor: Love and Thunder
To Kill a Mockingbird	To Kill a Mockingbird
Toy Sory 1	Toy Story
Toy Story 2	Toy Story II
Toy Story 3	Toy Story III
Toy Story 4	Toy Story IV
Transformers 1	Transformers
Transformers 2 - Revenge of the Fallen	Transformers: Revenge of the Fallen
Transformers 3 - Dark of the moon	Transformers: Dark of the Moon
Transformers 4 - Age of Extinction	Transformers: Age of Extinction
Transformers 5 - The Last Knight	Transformers: The Last Knight
Transformers 6 - Rise of the beasts	Transformers: Rise of the Beasts
Treasure Planet	Treasure Planet
Troy	Troy
Unbreakable	Unbreakable
Unforgiven	Unforgiven
Up	Up
Venom 1	Venom
Venom 2 - Let there be Carnage	Venom: Let There be Carnage
Vertigo	Vertigo
WALL·E	WALL·E
Wolverine 1 - X-Men Origins	X-Men Origins: Wolverine
Wolverine 2 - The Wolverine	The Wolverine
Wolverine 3 - Logan	Logan
Wonder Woman 1	Wonder Woman
Wonder Woman 2 - 1984	Wonder Woman: 1984
X-Men 1	X-Men
X-Men 2 - X2	X-Men: X2
X-Men 3 - The Last Stand	X-Men: The Last Stand
X-Men 4 - First Class	X-Men: First Class
X-Men 5 - Days of Future Past	X-Men: Days of Future Past
X-Men 6 - Apocalypse	X-Men: Apocalypse
X-Men 7 - Dark Phoenix	X-Men: Dark Phoenix
